place_id,name,lat,lon,average_rating,total_review_count,earliest_available_review_date,review_1_text,review_2_text,review_3_text,review_4_text,review_5_text
ChIJJaDCYPAw2jARvKuSAP-E6Uc,McDamia Cafe,18.748225299999998,98.960129,4.5,2,2021-02-03,Sit back and relax in a lovely atmosphere..cheap price..delicious.,,,,
ChIJC0-Z4q8x2jARLVvB4-Xhljo,Baan Aksara cafe&studio(บ้านอักษรา คาเฟ่และสตูดิโอ),18.746079599999998,98.9570023,5.0,30,2025-10-17,"This coffee shop is a wonderful place to relax. The coffee tastes absolutely delicious, and you can really tell they care about quality. The seating area is cozy, peaceful, and very comfortable. I also loved their waffle — they were fresh and tasty. Highly recommended if you’re looking for a calm and enjoyable spot to unwind!",The atmosphere was great! I love the fish tank upstairs. The house is an old traditional woody house. Their coffee was excellent!,Nice,"This is a lovely place. It feels like a hidden gem of Chiang Mai. First of all, the staff are really friendly. The atmosphere is so cozy, like you literally came to someone’s house. Also, the food and the coffee are amazing. I really liked it, so I highly recommend it.","This shop is cute, the atmosphere is lovely, and the owner is very attentive. The only problem is the parking, but the shop is looking for ways to improve it. If you're in Chiang Mai, don't forget to stop by and visit... We're currently running a half-and-half program, guaranteed to be worth it! 😘"
ChIJ-fw5otox2jARBf6RtaXOiBI,MAX Coffee Studio,18.7462388,98.9546244,4.4,178,2021-01-24,"I am glad that they have chatbox on googlemap. Therefore i can ask for their menu before i came here!

The external look of the coffee shop like industrial style! And internal side, the coffee shop is well decorated, clean and bright enough! It is a place that make you comfortable!

And the food price here is reasonable! I ordered a wanton noodle and waffle set, it costs me 170baht only! And the potion is large, worth for the price！

However, one bad side, somw flies and mosquito inside the shop, and the mosquito keep biting me😳 it would be great if coffee shop can put some stuff which is kill the mosquito or try to make them get away from the shop!

By the way, the stuffs are nice and friendly:)

If you are looking for quiet and special design cafe shop, you should come here❤️","I fall in love with Dirty Latte and Max Coffee fill me by enough coffee and Smooth of milk. New Vintage Hardcore and Loft Style Cafe near Chiangmai Airport. Standard Price, Good Barista, Strange Decor, Nice coffee. Unique Music. This is another cafe' Universe you can visit easy.","Nice coffee and atmosphere. But the pizzas are quite a surprise! Very delicious and authentic, and has variety interesting choices. Will be back.",Chic coffee shop. Industrial lost design space. Moderate taste of coffee. Good display. Many of photo shoot spots. Drip station so chic. Stair seat is interesting.,"Good atmosphere.
Recycled materials.
Parking available.
I like the interior here.
Near my home, I will come back for sure."
ChIJ6W4QZAAx2jAREKEncie5zMU,ซีนีม่า คาเฟ่ สาขา2,18.7457682,98.95530049999999,5.0,11,2024-11-05,"I've been here a couple of times. Excellent coffee, the pizza is fantastic and it has a cozy atmosphere. Great prices and I'd say well worth a visit. I'm happy to support this little coffee shop 😁","Awesome coffee, try the coconut iced americano and the Italian sodas… exquisite. I keep going back here because the vibe is so chill and the owner is super kind.",Hahaha the pizza baked in the oven is amazing and the coffee is cheap and not bad. It's nice to have a meal and drink coffee since they open late 😘,"The environment is comfortable and natural, the shop is well-organized, and the atmosphere is very chill. I came across this shop by chance, and I could never forget it after eating there once. I immediately came back with my boyfriend. He said that these are the best French fries we have ever eaten. When the boss was making hamburgers, the aroma spread throughout the shop. The pizza is freshly baked in the kiln. The key is that it only costs 100 pizzas when you buy a single pizza. Can the boss really make money? I hope the shop will grow bigger and bigger! ! ! !","Oh my god, the 69 baht carbonara is so cheap and creamy, like eating at an expensive restaurant. The 89 baht steak comes with 2 steaks, salad, and french fries. It's a lot!"
ChIJfXxwP88w2jAR4A-GAsYQZ60,Munchies Café,18.7528467,98.9341486,4.5,131,2021-11-28,"What a hidden gem 😍🌿 a quiet nature café nestled in the woods ☕ . With good WiFi, indoor and outdoor seating, and plenty of spaces to relax away from the hustle and bustle of the city with the sounds of nature surrounding you. Best grilled cheese (or ""cheese toastie"" where I'm from) I've had in a long time! Dripping with grated cheese, butter, and fresh tomato on toasted sesame bread 🥪 Absolutely delicious! And served with crisps on the side! Perfection ✨🤩 I think this cafe deserves more recognition. It's definitely worth a visit so if you're reading this, don't hesitate! 💓","Lovely daytime visit—smoothie was delicious nature and atmosphere were perfect. Mosquitoes were around but they offer repellent. Fair prices, I’ll be back.","A very nice cafe, close to the city but feels like it's in the forest. I like it very much","It's good place for reading, working and relaxing. The setting is pretty cozy with little old doggy. Really like the quiet and peaceful vibes here. Price of food and drinks is more reasonable than any others in CNX",This place was absolutely lovely and so quiet. the food is a bit pricey but the portions are awesome and everything is delicious. I am definitely coming back.
ChIJB17Jgecx2jARJSfoC7wdkiI,ลานทรายกาแฟ,18.752126399999998,98.94161,5.0,4,2022-04-14,The coffee is fragrant and smooth. You can sit inside or outside the shop. The shop is decorated very cutely and is located in front of the sand yard.,,,,
ChIJTZ_qfkwx2jARp6dwk-1GZFw,Yuk coffee ร้านกาแฟ เชียงใหม่,18.7507664,98.94171539999999,4.5,151,2023-01-23,"I consider to try this coffee shop. Coffee is really good. It is house blend. You can choose 3 type of coffee roast. Today I choose medium cappuccino; the house blend. The impressive is not only taste, but shop can print any photo on milk foam on the top of cup.
There are many cakes too. I choose coconut tart, there are 3 layers of tart, the top layer is like a coconut foam, middle is cream, and the bottom is biscuits. It is so delicious.

Staff and shop environment are really cool, big sofa like a big boss. You can park your car easily in front of shop.

Price is reasonable.","Lovely place off the main road a bit in a small plaza.  Comfortable chairs/couches and relaxing jazz music.
They offer light, medium, dark coffee choices and a wide range of pastries and pies.  I had the medium and it was delicious.
Very friendly owners.    Plentiful and Easy parking.","The coffee shop itself it’s a great place where to make a stop, nice sofas. Complete display of different cakes and drinking choices. I wish they had non-dairy milk tho","Very tasty cake, unfortunately there is no plant milk.  I really enjoyed the coffee on my first visit, but unfortunately not today. But the cake was always one of the best I've ever had. The fact that they print your own pictures on the coffee is unique and great! Nice ambience.","Special coffee shop with the best drinks, great tasting ice cream, scrumptious cakes. This is definitely a place you must try"
ChIJl8RoSJAx2jARN9OeN4PZ0Us,อินทนิล คอฟฟี่ แม่เหียะ,18.758218799999998,98.942222,4.9,20,2024-01-20,Great big cafe. Tables inside and outside. Tasty coffee. Friendly service.,"🐴 it is very nice coffee shop Convenient clean, comfortable relax 🪲 The price is cheap. Comfortable environment .","Great coffee and other drinks , thai tea , misc food items , new place worthy of a stop.",Huge place. Nice and quiet. Good coffee. Beautiful garden with misters.,"Quality coffee, plenty of seating both inside and outside, spacious and comfortable. Excellent!"
ChIJq6wJeMMw2jARgifDIw7iTOE,Raksa Cafe,18.7507052,98.94168619999999,4.6,16,2017-11-02,"Delicious cappuccino and kiwi smoothie. We also had the ham and cheese croissant and a chocolate danish, both were delicious. Small, cute, modern cafe.",One of the best café in Chiang Mai. Wide range of delicious pastries and great selections of beverages. Definitely have to visit here if you have the chance.,Nice and relaxing interior. Coffee is so so..,Good coffee :),Thai tea and green tea are very delicious. The cakes are beautiful and delicious. The price is not expensive.
ChIJkx49Ym0x2jARUDbrj6nZAJY,Highway 121 Coffee Shop CNX | ไฮเวย์ 121 คอฟฟี่ ช็อป,18.758721899999998,98.9434782,4.9,39,2024-11-18,"Good coffee, great service, great staff, great view of the mountains, they even feed the cute dogs. I recommend it.","Very friendly staff. We received free samples of green tea. I ordered ice coffee with yuzu soda. It was amazing. Very fresh with citrus jelly that taste like delicious Boba. Prices are very reasonable, better than anything in town. Highly recommend👍","Perfect taste of handmade pressed coffee. Good selection of roasts. Friendly owners and baristas.
Remember they are closed Thursdays. But the coffee is worth your time to come.","Good coffee made to order.
Artisanal roaster
Slow bar.",Cute little coffee shop along canal road. Grab a drink on the go or have a seat in their comfy camping chairs. Also carries oat milk.
ChIJIaoap5Ax2jARghs2uymsRgE,ภพรักที่นี่ (LOVEtiny),18.7586515,98.95954139999999,4.6,68,2022-01-20,"LOVEtiny is a hidden gem in Mae Hia, Chiang Mai just behind Airport! The service is top-notch and the vibe is super chill – perfect for studying, working, or just hanging out. Love the cozy indoor spot, and the outdoor area is a bonus 🌳. The owner is super friendly and the whole crew makes you feel like you're at home 😊. Highly recommend for a productive day or a chill catch-up with friends!","Such a wonderful coffee shop — great coffee, a warm and welcoming vibe, and a perfectly pet-friendly atmosphere. It feels like a little home away from home.","Nice coffee in the fabulous atmosphere. I like having a cup of hot cappuccino in the garden in front of the building. Singing birds , colorful lotus and the pool behind the building are my favorite things.","Their blueberry cheesecake was delicious. Drinks were good. Prices are good, normal range. The cafe is spacious with big parking lot. You can sit outdoors and enjoy the fish pond.","A Hidden Gem for Coffee Lovers

This coffee shop has quickly become my favorite spot to relax and recharge. The prices are very reasonable, especially considering the peaceful and beautiful environment they offer.

The garden is absolutely lovely — filled with big trees that provide shade and a calming atmosphere. There’s a pond with fish that adds to the charm, and the sound of birds singing makes it feel like a peaceful escape from the city.

The staff here are always friendly and welcoming, which adds to the overall relaxing vibe. There’s also a big car park, so parking is never a problem. If you’re looking for a quiet place to enjoy your coffee and unwind, this is the perfect spot. Highly recommended!"
ChIJScywZgAx2jARVjjRM2tEHXQ,The Parlor Coffee&Space,18.7555726,98.966634,5.0,223,2025-07-05,"This is a relaxing place a short drive along the road from the white temple to visit for Breakfast , meals or snacks. Excellent coffee served with a cup of tea included! The owner is a nice gentle lady. A place we would visit again to enjoy coffee a d relax!","Best coconut matcha, recommend for coffee, tea and matcha lovers.  Comfortable atmosphere, friendly service.  I have to come back for more 🥰❤️❤️. A lot of parking space, very convenient.","A lovely café with a beautiful design and a calm, peaceful atmosphere. Perfect for relaxing, enjoying a drink, or spending quiet time away from the crowds. 🍹✨",This is a very nice place to enjoy a coffee and croissant,Good cafe
ChIJa90pOAAx2jARFCeh3H00DRY,ร้านกาแฟบุญฮักษา,18.7539211,98.96723829999999,,,,,,,,
ChIJuywkGAAx2jARlVsFkVcnwxg,MR.PURPLE 2,18.7535426,98.9669672,5.0,1,2025-01-09,"Premium and high quality .
I love it.
They also sell coffee. In the evenings, they also have beer and food. Awesome!",,,,
ChIJD8fXc6sx2jARzQQVcRdcJOo,delicafe สาขาสนามบิน,18.7522226,98.9664581,4.9,192,2022-07-04,"Quick one: if you are looking for good and gourmet coffee, this is NOT the place.

Overall, just 2 stars.  But really, if you had no choice and wanna have a stop on the way to, say, the national park, then I would give a 3 stars overall and 4 stars for atmosphere.

Now, I tried Americano, cappuccino, hot chocolate and a slice of lemon cake.

I am surprised by the high ratings from so many.  Perhaps in comparison to petrol kiosk offerings, this is indeed not bad.  The atmosphere was good in general and especially compared with petrol kiosks offerings

But... I was on the hunt for nice cafe places, with good coffee (gourmet).  This is definitely not the gourmet coffee.  But definitely not the burnt type too served at train station etc. More like Nespresso.  One thing though, they dun make their chocolate sweet.","good service, great coffee but i love the pastry the most","Good place for preparing your flight, enjoy eating and internet cafe. Manu have been available for everyone such as Dessert or main dish.","Great place to do some work while waiting for car wash.
Good Coffe, Good snacks; good food, great staff.",Good coffee. Nice atmosphere. Very friendly and helpful staff.
ChIJCfHWGQAx2jARUNK_D2D6-pY,ชื่นใจ เฉาก๊วย,18.752424599999998,98.9682339,5.0,1,2025-05-25,,,,,
ChIJV5LD5bMx2jARxbGMtQwykk8,มิ่งมิตร คอฟฟี่ Mingmitr กาดวรุณ,18.751357799999997,98.964947,4.1,18,2023-07-23,Very nice coffee and place,Hot Latte is too hot. The barista should be better trained.,The face looks like they're asking for free food. The service is terrible. I just asked for less sweet and they said sarcastically that it can't be less sweet because it's the shop's recipe. Then they look like they don't want to sell it.,"The taste is good, but it might be a little too sweet. If you don't like sweet things, the service is good, the price is reasonable, and parking is easy.","The coffee is strong, as rumored, and the pastries are delicious with generous fillings."
ChIJiwSVlxYx2jARD-mA7PJFdEs,กาแฟวิเศษ กาดวรุณ,18.7516708,98.9679111,,,,,,,,
ChIJbxaBzlMx2jARHLrfXwrGHsE,Coffee shop,18.7510047,98.96513949999999,,,,,,,,
ChIJfbbcw28x2jARGi4n0gGLXwE,SPJ Visa Service,18.7526689,98.96944049999999,,,,,,,,
ChIJ8fz98Xox2jAR0LHMJEyXemA,Let’s get high cnx cannabis shop,18.7519112,98.9690634,5.0,2,2025-01-07,"Good work, good atmosphere, the shop staff gave good advice, the shop is very friendly 👍",Good quality at a low price.,,,
ChIJlXIdy2Ix2jARQ0i17kdyUZQ,1998 Coffee&Bubble tea,18.750612399999998,98.96481329999999,5.0,2,2022-08-31,,,,,
ChIJ31_3UwAx2jARf3KW--DHA1A,API tea coffee.Coffee Business&Cafe’,18.7520928,98.96970019999999,5.0,26,2025-01-01,25 baht for an americano. Very nice. But no english menu,Great not expensive coffee and nice kind people 🙏🙏🙏,"The shop has tent chairs, making it a great place to sit and relax.
There's no air conditioning, but it's nice and cool in the shade.
They brew their own coffee, and it's delicious.","I was on my way to Doi Inthanon and feeling sleepy, so I stopped for a coffee. I was so impressed with the coffee that I just had to write a review! The aroma was amazing, and it tasted perfect – not too sweet, just right. I loved it so much I even asked if I could buy some coffee beans to take home! If I'm ever in the area again, I'll definitely be back. Delicious, I had to share!",The coffee is fragrant and delicious! I'll definitely come back again.
ChIJ-fmEPwAx2jARNqUoTSysUDY,TERM - TEM,18.751476399999998,98.9691859,,,,,,,,
ChIJH_oxLAAx2jAR0b_d8xaJiL8,On the way coffee สาขากาดวรุณ,18.7519413,98.969719,5.0,7,2024-10-01,"Great coffee. I love their Cappuccino. So creamy and tasty, coffee is strong too. Everything is complete!
The barista is so kind and attentive, speak English too!
Perfect way to spend quick morning coffee ☕️","The best “On The Way” branch, because of the barista 🙏","Good taste, reasonable price, and close to home.",,
ChIJOaNjkYMx2jARUhxLQtxvn_8,The Secret house 🏠,18.7546483,98.9718129,5.0,1,2025-09-16,Good place.,,,,
ChIJ3f3IAwAx2jARuqeJjHylUac,ၶပ်ႉၾႆး​​ၻေႊ คัฟฟายน์เดย์ Cup Fine Day ခပ့်ဖှိုင်းဒေး,18.754559,98.972242,,,,,,,,
ChIJGegTXeox2jARjjwGikw5jqM,ริวเซย์ คอฟฟี่,18.754559,98.972242,4.8,4,2021-07-17,"The shop owner is lovely, polite, and very kind.",,,,
ChIJ1Ra-z2gx2jARFRh6iGshZbE,Mamere,18.754559,98.972242,,,,,,,,
ChIJqeKPkjQx2jARrKJgQAFV47M,กาแฟชิค เชิงดอย,18.754559,98.972242,,,,,,,,
ChIJudf62eUx2jARRTRJvnrfDPE,FADE​ COFFEE​ BLEND​,18.754559,98.972242,,,,,,,,
ChIJ3Ujm9Igx2jARy-0L5W1jWus,RAT Coffee,18.756212100000003,98.97165079999999,4.9,91,2023-07-30,"The best coffee I have tried in Chiang Mai, excellent americano and latte, only medium roast and light roast, the same price, the owner is a great man which also is a Muay Thai trainer and ex-copilot, extraordinary life only can make extraordinary coffee",Very knowledgeable owner. The best coffee: freshly roasted beans tight here. Owner follows coffee making rules. Best equipment.  Best price.,Best coffee in Chiang Mai. The coffee is really good and the atmosphere is so chilled and comfortable. You definitely need to try it if you are in Chiang Mai,Hands down the best Thai Iced Tea with Milk I’ve ever had! The owner is a true connoisseur whose knowledge is equally matched with his passion for coffee. The atmosphere is tranquil and homey which facilitates conversations that can last for hours on end.,"A small local coffeeshop with high-quality coffee.  Best to grab and go there is not manu seats.  The owner is very friendly.  He gave us free cookies as we asked if he has any for sale.  He said he didn't have one for sale, but surprisingly, he came back with the free one.  Let's support the local!"
ChIJW5oLJQAx2jARX40aaji5kbE,ค่าเฟ่&ฟาวเฟิล,18.7565565,98.9711231,,,,,,,,
ChIJW5gir0Ux2jARBt1aEFKsLr4,BomXBarber,18.7521186,98.9708198,,,,,,,,
ChIJLdtL6XEx2jARkN2qyP_BT8w,ชาคุมะ Chakuma ชานมไข่มุกใต้หวัน by บ้านผู้พัน,18.7567991,98.9702001,5.0,1,2020-07-29,"Very delicious, excellent taste. There are many varieties to choose from. The vendor is very friendly.",,,,
ChIJgeLT9_Ax2jARetCZ8KbZjrc,109coffeemilktea,18.7567999,98.97016239999999,,,,,,,,
ChIJY1jE7LEx2jARRZBqLiMhv2g,Daisy at The Moon,18.7573978,98.9711598,4.8,15,2021-02-04,"Friendly staff, beautifully and tastefully decorated interior. Have a coffee here with the soft sound of birds and Thai music. Yeah, I am going to recommend you stop by if you are in the neighborhood. ☕️","Delicious homemade ice-cream with over 30 flavors available to pick. Some rare flavors, can't find else where, with good and unique taste. 😋",Amazing home made ice cream.,"It's a lovely little shop that sells ice cream and coffee, and it's also a hostel. The space isn't big, but the atmosphere is great, and there's an outdoor courtyard where you can sit. The coffee and ice cream are both good, and the prices are reasonable. I highly recommend it.","The coffee is delicious and has its own unique flavor. Personally, I feel the coffee here tastes different from other places; it's distinctive, and even those who don't usually like coffee can enjoy it. The pastries are delicious, the service is excellent, and the shop is beautiful with many photo opportunities."
ChIJFyqO0e8x2jAR9Hw_ZTCLY1w,Coffee Jib La-muun Sip' fresh,18.7542591,98.9739304,,,,,,,,
ChIJj6bLDKsx2jARtuJ6YRYhOSQ,Connect coffee,18.7513514,98.9728768,4.7,38,2022-05-20,Very good coffee with fair price. Staff is very friendly and helpful. I left my phone in the taxi. He allowed me to use his phone to contact the driver. This is one my favorite places to go in Chiangmai.,Offside from the big road with plenty of parking options. Very good coffee served in a big mug + delicious toffee cake +friendly barista 👍,"I ordered a thai tea delivery from here and I had requested less ice (because lets be honest, everywhere in thailand an iced drink means a cup full of ice and a tiny bit of drink!!!) They packaged it perfectly. They had the thai tea decoction separate, an small bottle of milk separate and a cup of ice. I could decide how much of everything I wanted!! This is what I call customer service! The tea tasted good too. Thank you so much for taking care of a customer!",Good priced matcha latte and delicious. Normal or big cups available,I visited the shop on a chilled Sunday morning. The coffee shop is super nice and clean.
ChIJDXRkVmkx2jARQlz-Dt2uXDg,เพลิดเพลิน Coffee,18.7510981,98.9735948,4.6,5,2024-01-01,,,,,
ChIJVQoOLF4w2jARfnESNphVPFU,GRIT Coffee Bar,18.7578051,98.9716437,4.0,2,2018-03-18,,,,,
ChIJtx27xNUx2jARYxAr1BeZzNk,P'Lar Crepe & Cafe,18.7510695,98.97237369999999,,,,,,,,
ChIJ80D_Pasx2jARRMiA4TsJQgw,petits fours cafe เปอติฟูร์คาเฟ่,18.7583455,98.9688652,4.6,49,2019-09-19,"Great Bakery, excellent drinks,friendly people. I love this cafe👍👍","Having visited the coffee shop a few times  we decided to order a birthday cake. I was expecting somthing special, the cakes we had tried whilst visiting were excellent. However we were disappointed with the birthday cake, it was very dry and nothing special for what was quite an expensive cake.","Delicious and fun ,great place for family & friends .

Good atmosphere , adorable cakes. (Lemon cheesecake ,Fresier 🍓 great especially)
Fresh and high quality ingredients

I felt completely COVID safe,spacious kitchen and a high standard .

Good recommended.!!",Americano coffee with me So good ☕,The chocolate cookies are amazing! The staffs are really friendly and they give out used coffee ground.
ChIJGcC8dI8x2jARD_L7CVLSqwE,Bluwa Coffee : ร้านชานมไข่มุก และ กาแฟสด,18.7510923,98.97361269999999,5.0,37,2026-01-01,"The drinks taste great, the coffee is delicious, and the shop is clean. I'll definitely come back again if I have the chance.","The coffee is delicious, the photos turn out beautifully, and the owner is lovely!","This is my go-to shop; I can't miss a single day.
The tea is very strong, and the quality exceeds the price. ❤️","This has become my go-to bubble tea shop. The tapioca pearls are sweet, delicious, and chewy, and the cocoa is the best!","Rich in flavor, every dish is delicious, and the prices are affordable."
ChIJd169DwAx2jARznyVB15wsEw,Roast Koff โรสคอฟ,18.758646,98.972326,5.0,3,2025-04-11,"Good coffee, friendly prices. Recommended! 👍🏻👍🏻👍🏻",The coffee is delicious and the price is friendly and not too expensive.,I really like this shop. The green tea and Thai tea are really delicious.,,
ChIJAQAAAFww2jARxCjSy7k_1Zk,Fred's,18.752176199999997,98.9742237,,,,,,,,
ChIJ-6PuQwAx2jARp40BIC7RPXs,Latteman coffee 3,18.754156899999998,98.9993385,5.0,7,2024-01-10,The taste is very good. The owner is very friendly and lovely. I am very impressed.,It was delicious! I really liked it.,I really liked the taste.,The taste is very good.,
ChIJ-bjXluEx2jARB5_c4PYh2ho,บ้านคอฟฟี่,18.7549509,98.99982209999999,5.0,3,2022-12-07,"Nice little coffee shop
Good tasty, freshly brewed  delicious coffee
good price
Little space for sitting

Friendly staff
Very good service

Delivery available",,,,
ChIJm4kWgl0x2jARv6E4Bm3JisI,Million2491 ต่อขนตา ทำเล็บ คาเฟ่,18.7555353,98.9998533,5.0,4,2022-11-06,"Manicure and eyelash extensions, coffee available. We dropped off my girlfriend to get her nails done, so we drank coffee. One stop shop, perfect! #recommended ☕️💙","Good coffee, beautiful shop.",The shop is beautiful and pleasing to the eye. The lemon tea is good and refreshing.,,
ChIJ38UqA68x2jAR2QrTLJkMFQ8,พุงเพลิน@เวียงกุมกาม,18.753737299999997,99.0002794,5.0,1,2021-08-03,,,,,
ChIJIzEUe0gx2jARX33-VMxtKhw,Cup of the day,18.7562936,98.999766,5.0,6,2024-10-11,"ordered through grab, the mint cold brew is so delicious!! and i ordered deep roast for the coffee, extremely nutty flavour and i love it so much. will definitely try to visit in person","Really nice coffee and has oat milk, I had an iced cappuccino and asked for it not too sweet and it was just right, would highly recommend.","They make my favorite coffee and Thai milk tea every morning.
It’s very nice and kindly serves me","Comfort coffee for me, recommend",
ChIJ6avjhccx2jARDKbr923lzN4,Caffa Coffeemaker,18.7557333,99.0008792,4.6,25,2023-08-10,"this clean, lrage-feeling shop primarily sells coffee machines  (and some coffees) , including high-end ones, some look quite commercial; if you need the best you should look here;
they provide coffee on-site but that is more a favor in order to sell their on-site raw coffees; it is not meant to be a coffee shop or cafe, no food, friendly staff; iffy parking, is located in K-Park, turn left at KFC Mahidol","Haven''t visited the store but buy their beans from a local barista.

Back in March-April 2025, we were very impressed with the flavor of their chocolate-infused bean. It was great!

Now, however, something has gone wrong with roasting process. The chocolate flavor is gone even though it's still marketed as such.

Without this additive flavor, their beans are average at best.",Not meant to be a coffee shop but they have dam good coffee!  Excellent atmosphere and staff! If you are nearby stop and enjoy. Very high end/quality machines for sale as well ☺️,"They sell great coffee and tea supplies, staff is always friendly and they provide samples.

It is always a bliss to stop by and buy some coffee here.","They sell the best coffee in Chiang Mai, it's not a coffee shop, they sell coffee and coffee machines and accessories."
ChIJUX_062Yx2jARdmxH9MMKm9I,Coffee & Me,18.756189900000003,99.0005401,3.0,2,2021-11-12,"i looked for coffee at this place as i was going to a clinic nearby; 3 days in a row; no sign of life, no table outside, no real sign;
looks closed permanently to me","A small shop on Mahidol Road, located within the K-Park Business Center. Coffee is their main menu item and tastes good ☕️. They also have a decent selection of à la carte dishes. I already mentioned to the owner that the vegetables weren't cooked thoroughly, and I hope this helps them improve the taste even more 🧆. It would add another great place for us to chill 🧜‍♀️. Parking isn't too difficult 🚖.",,,
ChIJta3uYYAx2jARg5VXHmCykeE,Sook coffee @ Chiang Mai online,18.7539589,99.0016437,5.0,1,,,,,,
